drug_set_id,ds_version,plate_date,plate_id,scan_id,format,assay,cell_line_name,cell_id,drug_id,maxConc,maxConcPos,IC_ID,IC_50_EST,IC_50_LOW,IC_50_HIGH,AUC
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1032,0.5,320,1918621,0.642926,-0.045209,1.910243,0.947406
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1037,5,104,1757382,3.25321,1.929928,7.181357,0.95364
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1037,5,104,1918622,3.927422,2.561429,7.199436,0.977741
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1038,2,152,1757383,4.396012,1.880706,8.71269,0.989711
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1038,2,152,1918623,4.915677,2.444915,9.118336,0.99407
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1039,10,248,1757384,6.654914,3.920626,11.084254,0.994874
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1039,10,248,1918624,7.253384,4.534665,11.587038,0.998265
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1042,10,344,1757385,6.868082,3.823084,11.070282,0.995492
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1042,10,344,1918625,6.574472,4.142668,10.721328,0.994291
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1046,2,85,1757386,5.171575,2.422197,9.15315,0.994874
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1046,2,85,1918626,5.115129,2.61493,8.945617,0.994905
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1047,8,133,1757387,5.38516,3.11371,9.393104,0.983782
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1047,8,133,1918627,6.6225,4.040233,10.619366,0.995519
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1049,2,181,1757388,5.206397,2.411942,9.593553,0.994874
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1049,2,181,1918628,5.778112,2.962658,10.278844,0.998265
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1050,4,229,1757389,5.14327,2.672978,9.507625,0.987488
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1050,4,229,1918629,5.27741,3.04229,9.102279,0.992228
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1052,5,277,1757390,4.34671,2.394492,8.339527,0.977129
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1052,5,277,1918630,6.82795,3.992652,11.010145,0.998265
730,f,04-Sep-13,66164,79088,17,a,SW1463,2168,1053,4,325,1757391,3.065272,0.556159,7.820566,0.935961
730,f,12-Nov-13,69212,82611,17,a,SW1463,2168,1053,4,325,1918631,5.071805,2.154191,9.575312,0.992228
